NONREDUNDANT ALL DATA;all;;;;;;;;;antiparallel;;;;;;;;;parallel;;;;;;;;;trimer;;;;;;;;;tetramer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;register;positive;negative;hydrophobic;other;dm;physico-chemical change DM;pm;physico-chemical change PM;register;positive;negative;hydrophobic;other;dm;physico-chemical change DM;pm;physico-chemical change PM;register;positive;negative;hydrophobic;other;dm;physico-chemical change DM;pm;physico-chemical change PM;register;positive;negative;hydrophobic;other;dm;physico-chemical change DM;pm;physico-chemical change PM;register;positive;negative;hydrophobic;other;dm;physico-chemical change DM;pm;physico-chemical change PM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;non-d;2248;4338;;non-d;571;909;;non-d;367;907;;non-d;960;1915;;non-d;350;606;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;e;401;685;0,092710273;e;98;125;0,172530382;e;70;167;0,996063114;e;171;294;0,138361511;e;62;99;0,648041673;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;non-e;2201;4226;;non-e;569;894;;non-e;365;861;;non-e;937;1890;;non-e;330;580;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;f;310;758;3,73E-05;f;80;167;0,015314191;f;55;158;0,204021907;f;130;318;0,029106353;f;45;115;0,020107229;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;non-f;2292;4153;;non-f;587;852;;non-f;380;870;;non-f;978;1866;;non-f;347;564;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;g;402;692;0,120081327;g;90;154;0,393376542;g;65;151;0,964529986;g;184;297;0,024048227;g;63;89;0,212013403;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;non-g;2200;4219;;non-g;577;865;;non-g;370;877;;non-g;924;1887;;non-g;329;590;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Paircoil;a;459;716;0,16887728;a;76;118;0,872906677;a;66;99;0,442079262;a;249;386;0,165100001;a;68;113;0,964366137;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;non-a;2625;4485;;non-a;508;819;;non-a;433;751;;non-a;1328;2336;;non-a;356;579;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;b;417;791;0,038323408;b;79;166;0,036655302;b;76;138;0,681425221;b;201;382;0,25320531;b;61;105;0,785790785;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;non-b;2667;4410;;non-b;505;771;;non-b;423;712;;non-b;1376;2340;;non-b;363;587;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;c;395;770;0,012604889;c;85;130;0,768031752;c;59;139;0,028539013;c;200;405;0,051127932;c;51;96;0,427669146;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;non-c;2689;4431;;non-c;499;807;;non-c;440;711;;non-c;1377;2317;;non-c;373;596;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;d;436;659;0,061183523;d;95;109;0,012349044;d;73;101;0,170986352;d;215;373;0,985616641;d;53;76;0,50092405;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;non-d;2648;4542;;non-d;489;828;;non-d;426;749;;non-d;1362;2349;;non-d;371;616;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;e;503;741;0,012109588;e;102;141;0,238122489;e;80;131;0,821845734;e;255;371;0,025688646;e;66;98;0,578232868;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;non-e;2581;4460;;non-e;482;796;;non-e;419;719;;non-e;1322;2351;;non-e;358;594;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;f;415;769;0,101325399;f;74;138;0,293627295;f;65;129;0,314267162;f;221;398;0,615768964;f;55;104;0,386440159;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;non-f;2669;4432;;non-f;510;799;;non-f;434;721;;non-f;1356;2324;;non-f;369;588;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;g;459;755;0,671359586;g;73;135;0,328861113;g;80;113;0,191549222;g;236;407;0,973712721;g;70;100;0,39918768;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;non-g;2625;4446;;non-g;511;802;;non-g;419;737;;non-g;1341;2315;;non-g;354;592;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;ALL;;;;;;;;;;;;;;;;ANTIPARALLEL;;;;;;;;;;;;;;;;PARALLEL;;;;;;;;;;;;;;;;TRIMER;;;;;;;;;;;;;;;;TETRAMER;;;;;;;;;;;;;;;
NONREDUNDANT RANDOM SAMPLING;;MEAN;;;;;;;;STD;;;;;;;;MEAN;;;;;;;;STD;;;;;;;;MEAN;;;;;;;;STD;;;;;;;;MEAN;;;;;;;;STD;;;;;;;;MEAN;;;;;;;;STD;;;;;;;
;;positive;negative;hydrophobic;other;dm;physico-chemical change DM;pm;physico-chemical change PM;positive;negative;hydrophobic;other;dm;physico-chemical change DM;pm;physico-chemical change PM;positive;negative;hydrophobic;other;dm;physico-chemical change DM;pm;physico-chemical change PM;positive;negative;hydrophobic;other;dm;physico-chemical change DM;pm;physico-chemical change PM;positive;negative;hydrophobic;other;dm;physico-chemical change DM;pm;physico-chemical change PM;positive;negative;hydrophobic;other;dm;physico-chemical change DM;pm;physico-chemical change PM;positive;negative;hydrophobic;other;dm;physico-chemical change DM;pm;physico-chemical change PM;positive;negative;hydrophobic;other;dm;physico-chemical change DM;pm;physico-chemical change PM;positive;negative;hydrophobic;other;dm;physico-chemical change DM;pm;physico-chemical change PM;positive;negative;hydrophobic;other;dm;physico-chemical change DM;pm;physico-chemical change PM
Marcoil;a;21727,4;73400,4;37021,6;9132,2;206,8;158,8;406,6;222,6;221,1623838;758,0997955;363,1367511;88,29326135;11,21160113;11,27829774;11,63185282;9,659192513;4339;10940,4;5265,2;1625;38,8;28,2;68,2;35,6;56,89903338;129,8260375;67,31047467;26,84213106;3,898717738;3,492849839;6,870225615;4,827007354;5006,2;14980;7962,8;1694,4;46;38,6;80,2;47,2;79,96374178;123,4098862;70,57053209;42,94531406;1,870828693;2,880972058;3,962322551;1,923538406;9676,4;34909,6;18702;4746;85;61,2;191,4;106;106,8377274;553,4657171;245,5860338;54,09251335;11,37980668;10,42592922;6,877499546;6;2225,6;9876,8;4434;941,6;33,6;28,4;50;26,8;43,19490711;177,0909371;74,60227879;23,97498697;3,361547263;2,19089023;4,472135955;3,271085447
;b;29949;27962,6;46979,4;36385,4;155,4;122;476,6;318,8;259,2807359;243,4508164;527,708537;380,5992643;4,774934555;5,431390246;11,43678276;9,679876032;4897;4684,4;7105,4;5469,2;22,2;17,6;71,8;43;43,40506883;53,51915545;88,51722996;85,52601943;4,086563348;3,78153408;5,630275304;4,415880433;6176,6;6194,8;9834;7360,6;38,8;30,8;98,6;68,2;71,74468621;31,12394577;85,50730963;88,27400523;1,483239697;1,643167673;4,159326869;2,683281573;14327,4;12884,6;22691;18202,2;67,8;53,8;222,6;152;192,8556455;168,3635946;353,3185531;237,4240931;4,494441011;4,324349662;8,905054744;7,416198487;3662,4;3601,2;6202,4;4017;23,8;17;68,8;45,6;41,89630055;60,56153895;117,6575539;93,88823142;2,774887385;3,16227766;5,215361924;2,966479395
;c;27455,4;29407,8;49134,4;35427,6;147,4;103,8;458,2;289,4;229,9680413;262,455139;620,2155271;318,7770381;8,561541917;6,534523701;17,28293956;12,0124935;4489;5404;7349,4;5008,8;28,6;21;72,2;49;71,19339857;72,01735902;95,44527228;72,15400197;2,607680962;1,58113883;5,805170109;4,242640687;5911;6185,8;10287;7251,4;32,4;23,2;87,2;56,6;71,14421972;35,7868691;119,0420094;76,83293565;3,130495168;2,049390153;3,033150178;2,073644135;13025,6;13420,2;23929,6;17716,4;52,2;38;224,8;138,6;182,3493899;179,6836108;364,9113591;227,6714738;4,494441011;3,741657387;6,379655163;5,272570531;3228,4;3780,2;6350,2;4140,2;24,8;15,8;61,8;36,4;31,02901868;57,19440532;135,1820994;79,82919266;1,788854382;1,095445115;4,65832588;4,219004622
